Üst Parça (Parent);Alt Parça (Child);Miktar;uretim_sekli;malzeme;malzeme_ebat;alt_kod;revizyon;tarih
TEKRMD_M1;DIN7380;1;;;;;01;1.01.2021
TEKRMD_M1;M1WHRN07;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
TEKRMD_M1;DIN127;30;;;;;01;1.01.2021
TEKRMD_M1;M2WHAN02;2;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2WHAN02;DIN931;1;;;;;01;1.01.2021
M2WHAN02;M1WHRN02;1;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2WHAN02;DIN985;1;;;;;01;1.01.2021
M2WHAN02;DIN127;1;;;;;01;1.01.2021
TEKRMD_M1;M2T1AN01;1;Assembly (Montaj);N/A;N/A;N/A;01;1.01.2021
M2T1AN01;DIN7991;8;;;;;01;1.01.2021
M2T1AN01;DIN127;2;;;;;01;1.01.2021
M2T1AN01;DIN933;2;;;;;01;1.01.2021
M2T1AN01;DIN985;2;;;;;01;1.01.2021
M2T1AN01;M3T2PB09;2;Cataphoresis (Kataforez);N/A;N/A;M3T2MN09;01;1.01.2021
M3T2PB09;M3T2MN09;1;Milling (Freze);Aluminium 5754 H111;N/A;M3T2BN03;01;1.01.2021
M3T2MN09;M3T2BN03;1;Bending (Büküm);Aluminium 5754 H111;N/A;M3T2LN12;01;1.01.2021
M3T2BN03;M3T2LN12;1;Laser Cut (Lazer);Aluminium 5754 H111;N/A;N/A;01;1.01.2021
M2T1AN01;M3T2MN11;2;Milling (Freze);EN 1.4305 - AISI 303;N/A;M3T2TN08;01;1.01.2021
M3T2MN11;M3T2TN08;1;Lathe (Torna);EN 1.4305 - AISI 303;Ø18 x 120mm;RSCNB018;01;1.01.2021
M2T1AN01;M1BBRN02;2;Off the shelf (Hazır);N/A;N/A;N/A;01;1.01.2021
M2T1AN01;DIN472;2;;;;;01;1.01.2021
M2T1AN01;M3T2PB10;2;Cataphoresis (Kataforez);N/A;N/A;M3T2MN10;01;1.01.2021
M3T2PB10;M3T2MN10;1;Milling (Freze);Aluminium 7075 T6;N/A;M3T2TN07;01;1.01.2021
M3T2MN10;M3T2TN07;1;Lathe (Torna);Aluminium 7075 T6;Ø62 x 35mm;RAC7K062;01;1.01.2021
M2T1AN01;M3T2PB08;1;Cataphoresis (Kataforez);N/A;N/A;M2T2WN02;01;1.01.2021
